album_id,title,release_date,album_type
ALB115557,FOREVER AND EVER,2021-04-09,album
ALB730959,OKAY OKAY 2,2025-05-16,single
ALB436151,FOREVER,2020-05-28,album
ALB672657,MADE IN ITALY,2023-02-09,single
ALB632366,POLKA 3,2022-06-02,single
ALB485122,Facciamolo,2019-06-07,single
ALB898686,BV3,2020-10-02,album
ALB639623,Fatass,2019-09-20,single
ALB270182,OKAY OKAY !!,2019-03-08,album
ALB692479,#digitalcity,2022-05-05,album
ALB272551,ALIENO,2020-01-17,single
ALB894810,BELLU GUAGLIONE,2023-05-18,single
ALB765476,I RAGAZZI STANNO BENE,2023-07-14,album
ALB931361,3SOME (feat. VillaBanks),2024-06-19,single
ALB538879,LA BELLAVITA,2025-03-28,album
ALB352571,non è normale,2022-11-03,single
ALB214026,COMINCIA TU (feat. Rosa Chemical),2022-02-05,single
ALB758409,BLACKOUT,2024-02-29,single
ALB141795,Cultura Italiana Pt.1,2024-05-31,album
ALB622240,Kournikova,2018-11-12,single
ALB190631,NoRd,2021-05-14,album
ALB991433,Dead Again,2007-03-13,album
ALB720191,Reversed Crash,2023-06-09,album
ALB132593,WE 2FLY,2024-08-02,single
ALB272993,The Execution Of All Things,2002-10-01,album
ALB271215,ShapeShifters,2008-06-17,album
ALB300834,Spaccio di Verità 1,2023-10-06,single
ALB262355,"TRASHBIN, Vol. 3",2020-07-23,album
ALB372767,Groupie,2018-12-11,single
ALB148515,KG0516,2021-03-26,album
ALB761176,Male O Bene,2019-05-24,single
ALB670345,"Red Bull 64 Bars, The Album",2021-05-27,compilation
ALB435554,Grizzly,2017-10-27,single
ALB645749,Morosita,2019-02-13,single
ALB869745,3nd,2018-02-14,single
ALB667746,Crisalide,2021-10-21,album
ALB805210,Vaniglia,2017-10-20,single
ALB872173,1 2 3,2024-05-10,single
ALB937261,TONICA,2019-10-02,single
ALB306927,444,2024-01-04,single
ALB602776,Chicas,2018-06-22,single
ALB225880,BANDA,2018-04-23,single
ALB293946,Fenty,2017-10-27,single
ALB701679,Introduction,2022-10-28,album
ALB989588,AIRBNB,2020-11-11,single
ALB106684,Roberta,2019-12-12,single
ALB563442,Cringe,2020-07-23,single
ALB844169,SUPERSEX (feat. Spender),2024-06-14,single
ALB302921,Regole,2022-06-23,single
ALB785547,family first,2021-08-19,single
ALB564654,Luga Pandemic,2023-01-01,single
ALB192625,Dentro di me,2024-02-23,single
ALB153532,Come Le Storie,2020-06-23,single
ALB983900,Intro,2021-08-19,single
ALB901542,X2VR,2023-11-17,album
ALB406845,Maracucho Bueno Muere Chiquito,2018-03-16,album
ALB864581,Black Panther The Album Music From And Inspired By,2018-02-09,album
ALB318872,La prima volta,2025-02-07,single
ALB974244,Mood Blu,2024-04-05,single
ALB462989,99 Visions,2023-12-05,album
ALB792793,Rolling Papers (feat. Tormento),2025-04-04,single
ALB969394,Motel Love,2024-06-21,album
ALB660715,in fieri,2022-12-12,single
ALB424885,Giù,2022-07-01,album
ALB283137,Sale,2025-04-04,single
ALB438257,VERA BADDIE,2024-06-27,album
ALB249800,Eclissi,2022-05-12,album
ALB163472,Limonare,2023-07-28,single
ALB873501,Electra Heart (Deluxe),2012-04-27,album
ALB602874,il filo rosso,2024-10-18,single
ALB218228,Before Wanderlust,2019-12-13,album
ALB472683,NoRd,2021-05-14,album
ALB563208,SANTANA MONEY GANG,2025-04-10,album
ALB677618,a me mi piace (feat. Manu Chao),2025-05-09,single
ALB105629,"Sogna, Ragazzo, Sogna",2024-03-06,single
ALB127934,Non so chi ha creato il mondo ma so che era innamorato,2024-02-16,album
ALB152467,bellissimissima <3,2023-05-12,single
ALB772523,Prima O Poi,2018-04-26,single
ALB870495,Non so chi ha creato il mondo ma so che era innamorato (Deluxe),2025-05-30,album
ALB306943,È FINITA LA PACE,2024-12-13,album
ALB291183,Santa Fe,2023-09-24,single
ALB663365,CI SARÒ,2021-09-24,single
ALB978644,Happy Birthday,2021-12-09,single
ALB537063,PARIGI,2022-03-04,single
ALB126052,Confusion,2024-10-16,single
ALB916862,PARIGI RMX,2022-03-25,single
ALB117763,Serenata (From ''Forever Out of My League''),2022-01-31,single
ALB805273,Le Cose In Comune,2023-02-24,single
ALB480572,You Make Me So Happy,2022-06-10,single
ALB295555,5 MINUTI,2022-11-28,single
ALB198162,2nd Exit,2016-09-13,album
ALB869694,NO MONEY,2019-06-19,single
ALB502301,SuperNOVA,2020-09-18,album
ALB596537,Cerco un posto,2022-10-07,single
ALB429433,Stelletella,2021-04-01,single
ALB167722,Sotto una pioggia di parole,2009-05-22,album
ALB355943,Viajo Sin Ver (Remix),2018-08-31,single
ALB914195,Jet Lag,2017-08-14,single
ALB282903,Papillon,2025-02-01,single
ALB571326,Messias,2016-02-05,album
ALB748916,ZÉPECK,2024-07-12,album
ALB600819,L'Alfabeto Degli Amanti,2006-02-28,album
ALB145377,Les plus belles polyphonies Corses (Les plus grandes polyphonies de Corses),2014-11-24,album
ALB913502,SIRIO,2022-04-07,album
ALB944970,Alfa Y Omega,2025-01-11,album
ALB520517,Demoni,2025-02-04,single
ALB530526,23 6451,2019-11-15,album
ALB430284,c@ra++ere s?ec!@le,2022-09-30,album
ALB778284,sFaCioLaTe miXTaPe,2024-07-26,album
ALB622409,CASA GOSPEL,2024-12-13,album
ALB925930,SE ME HACE EASY,2024-02-15,single
ALB273626,URAGANO DAMN,2023-12-15,single
ALB361886,Luga Pandemic,2023-01-01,single
ALB680880,Purpose,2020-09-17,single
ALB963932,L.A.,2014-11-29,single
ALB415032,Purple Thasup,2023-09-22,single
ALB338267,SANTANA MONEY GANG,2025-04-10,album
ALB644767,CON I MIEI OCCHI,2024-10-25,album
ALB137865,Arte,2019-09-11,album
ALB281440,Ordinary,2025-02-07,single
ALB958589,STRONZA SENTIMENTALE,2025-04-04,single
ALB585952,X2VR,2023-11-17,album
ALB627015,After Hours,2020-03-20,album
ALB601161,FEDE,2023-04-28,album
ALB383307,Milano Angels,2024-09-06,album
ALB109512,Gravity,2024-05-27,single
ALB775926,Magica Europa,2003-07-30,single
ALB451983,VERA BADDIE,2024-06-27,album
ALB266926,Summer Vacation 2025,2025-06-11,compilation
ALB919575,Lettera Q,2024-11-22,album
ALB801901,Madreperla,2023-01-13,album
ALB990792,LA BELLAVITA,2025-03-28,album
ALB237895,In the Ley Lines,2013-01-01,album
ALB994103,The Among Us Song,2022-11-24,single
ALB671161,Gucci rubate,2018-06-22,single
ALB263398,The Interview,2010-08-23,single
ALB426068,Swaggavamo a scuola thasup,2022-05-23,single
ALB790594,BV3,2020-10-02,album
ALB853458,Containers,2024-10-10,album
ALB185134,Gauč Storytelling,2019-05-24,album
ALB258707,Che Gusto C'è (feat. Tredici Pietro),2025-05-23,single
ALB774969,OBE,2021-06-17,album
ALB229837,Troppo tardi.,2023-11-21,single
ALB414031,HOTEL MONTANA,2023-09-01,album
ALB466753,Ma Xkè A Me?,2023-07-28,single
ALB194578,Sincer (feat. Lele Blade & Icy Subzero),2023-05-05,single
ALB397494,HOTEL MONTANA (Deluxe),2024-07-05,album
ALB820441,Marijuana (feat. Rhove),2024-06-21,single
ALB117488,AMBIZIONE,2022-05-27,album
ALB548890,LOCURA,2024-11-26,album
ALB915773,Re Mida,2019-03-01,album
ALB489720,LOCURA (Jam),2025-06-04,album
ALB535770,Zzala,2017-04-14,album
ALB554542,J,2020-07-16,album
ALB419515,Re Mida (Aurum),2019-10-03,album
ALB631306,LOCURA (Opera),2025-06-05,album
ALB261724,SIRIO,2022-04-07,album
ALB352630,Diablo,2017-10-20,single
ALB888447,"Red Bull 64 Bars, The Album",2021-05-27,compilation
ALB252889,1/6 - EP,2020-06-19,single
ALB566511,Lario (feat. Fabri Fibra) [RMX],2018-03-21,single
ALB296338,Re Mida (Piano Solo),2019-10-01,album
ALB703938,ZONDA,2023-03-30,single
ALB333986,SIRIO (Concertos),2022-12-15,album
ALB370639,Fuego,2017-02-13,single
ALB334525,Tu Me Quieres,2024-09-13,single
ALB866635,I.B.F.M.,2017-09-05,single
ALB490471,Santeria,2016-06-24,album
ALB437617,Wall Street Freestyle,2017-02-13,single
ALB510016,"Dal '700 al '900 napoletano, Vol. 1 (I edizione)",2017-09-27,single
ALB347757,"Real Talk Cypher, Vol. 1 (Mixed)",2019-09-06,album
ALB911461,Super Santos Freestyle,2017-02-13,single
ALB564069,BLOCCO 181 – ORIGINAL SOUNDTRACK,2022-05-27,album
ALB262695,RANCH,2025-05-09,album
ALB676759,Tarantelle,2019-05-03,album
ALB936272,Milano Angels,2024-09-06,album
ALB942498,Canzoni Al Piano (Primavera 2023) – Relax Con I Più Grandi Successi,2023-03-13,album
ALB802925,Wish You Were Here,1975-09-12,album
ALB943053,att.,2024-04-05,album
ALB842139,VERA BADDIE,2024-06-27,album
ALB928671,The North Wild Spirit,2024-06-01,album
ALB285340,"Verdi: Rigoletto (Callas, Di Stefano, Gobbi / La Scala) (1955)",1955-01-01,album
ALB294690,Tempo,2014-12-05,album
ALB720097,SANTANA MONEY GANG,2025-04-10,album
ALB814906,Rockstar,2018-01-19,album
ALB644125,Guitarra,2020-12-06,single
ALB337718,TRAPLINE,2019-05-10,album
ALB787167,O Futebol,2004-01-08,album
ALB943415,50 Greatest Tracks,2015-11-06,album
ALB538795,22 Freestyle,2017-08-06,single
ALB948195,DRIFT Series 1,2020-09-18,album
